iter	MAE
0	131650.7791
1	124045.8496
2	117001.282
3	111169.5904
4	106391.7024
5	101623.7152
6	97163.04159
7	93457.97904
8	90319.69028
9	87155.59002
10	84387.79451
11	81977.76585
12	79898.64458
13	77829.34627
14	75968.70204
15	74500.51966
16	72963.90425
17	71672.21379
18	70527.26743
19	69357.27883
20	68377.50541
21	67452.19099
22	66932.20609
23	66156.02216
24	65379.98478
25	64596.51322
26	64005.57652
27	63484.75725
28	62825.61997
29	62393.11277
30	62001.54829
31	61634.44213
32	61254.8294
33	60963.91695
34	60686.48709
35	60357.49818
36	60022.44688
37	59735.77186
38	59485.7151
39	59315.29042
40	59069.15104
41	58900.26273
42	58702.43077
43	58554.1677
44	58437.1075
45	58274.79763
46	58052.52011
47	57852.05919
48	57754.51088
49	57650.26293
50	57584.73363
51	57446.46298
52	57381.96727
53	57230.7503
54	57137.35602
55	57101.74954
56	57033.07346
57	56911.65581
58	56877.58617
59	56794.34196
60	56595.2459
61	56461.24444
62	56320.91584
63	56069.87089
64	56011.46195
65	55967.39607
66	55899.27193
67	55850.30265
68	55765.84275
69	55690.3682
70	55541.72934
71	55384.58556
72	55308.00262
73	55246.15449
74	54998.58525
75	54889.50791
76	54775.28567
77	54653.5387
78	54537.95827
79	54442.55509
80	54388.1715
81	54293.13272
82	54173.99696
83	54097.9484
84	54046.9603
85	53993.17368
86	53882.06034
87	53788.5701
88	53776.79299
89	53666.10223
90	53567.25448
91	53523.48782
92	53472.39902
93	53279.4543
94	53143.67427
95	53013.28613
96	52960.82722
97	52881.00794
98	52781.06219
99	52531.42938
100	52499.32564
101	52434.16703
102	52306.43235
103	52190.69397
104	52109.93105
105	52079.3541
106	52047.53315
107	51971.31942
108	51937.59143
109	51865.83378
110	51780.33686
111	51699.55156
112	51642.12385
113	51595.63802
114	51563.42431
115	51517.12329
116	51455.50172
117	51406.17329
118	51368.82533
119	51301.85633
120	51247.94889
121	51183.31596
122	51144.23565
123	51104.55724
124	51037.07753
